Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton 
8/12/2022 15:03:32,2014-2015,Amon,Chittagong,Bandarban,9427,2.519,23749
8/12/2022 15:07:22,2014-2015,Amon,Chittagong ,Chittagong,176947,2.799,495198
8/12/2022 15:08:57,2014-2015,Amon,Chittagong,Cox's Bazar,72507,2.416,175192
8/12/2022 15:13:46,2014-2015,Amon,Chittagong,Comilla,139208,2.103,292803
8/12/2022 15:14:55,2014-2015,Amon,Chittagong,Chandpur,42830,1.661,71142
8/12/2022 15:16:00,2014-2015,Amon,Chittagong,Brahmanbaria,62679,2.339,146601
8/12/2022 15:17:07,2014-2015,Amon,Chittagong,Khagrachari,27663,2.833,78366
8/12/2022 15:20:09,2014-2015,Amon,Chittagong,Noakhali,126881,1.957,248264
8/12/2022 15:22:05,2014-2015,Amon,Chittagong,Lakshmipur,82794,2.443,202248
8/12/2022 15:24:04,2014-2015,Amon,Chittagong,Feni,66148,2.83,187203
8/12/2022 15:26:48,2014-2015,Amon,Chittagong,Rangamati,10076,2.76,27810
8/12/2022 15:37:03,2014-2015,Amon,Dhaka,Dhaka,12852,1.214,15604
8/12/2022 15:39:36,2014-2015,Amon,Dhaka,Gazipur,42034,2.416,101542
8/12/2022 15:41:44,2014-2015,Amon,Dhaka,Manikgonj,39955,1.303,52046
8/12/2022 15:42:57,2014-2015,Amon,Dhaka,Munsigonj,19085,1.199,22886
8/12/2022 15:44:45,2014-2015,Amon,Dhaka,Narayangonj,9347,1.339,12516
8/12/2022 15:45:48,2014-2015,Amon,Dhaka,Narsingdi,39266,2.331,91527
8/12/2022 15:47:39,2014-2015,Amon,Dhaka,Faridpur,51805,2.318,120064
8/12/2022 15:48:40,2014-2015,Amon,Dhaka,Rajbari,37037,2.518,93275
8/12/2022 15:50:38,2014-2015,Amon,Dhaka,Madaripur,24652,1.49,36743
8/12/2022 15:51:48,2014-2015,Amon,Dhaka,Gopalgonj,21932,1.335,29274
8/12/2022 15:53:18,2014-2015,Amon,Dhaka,Shariatpur,14655,1.488,21802
8/12/2022 15:55:27,2014-2015,Amon,Dhaka,Jamalpur,84073,2.546,214042
8/12/2022 15:56:18,2014-2015,Amon,Dhaka,Sherpur,83285,2.069,172290
8/12/2022 15:57:29,2014-2015,Amon,Dhaka,Kishoregonj,74466,2.527,188211
8/12/2022 15:58:27,2014-2015,Amon,Dhaka,Netrokona,123136,2.338,287835
8/12/2022 15:59:24,2014-2015,Amon,Dhaka,Mymenshing,258549,2.463,636761
8/12/2022 16:00:30,2014-2015,Amon,Dhaka,Tangail,123861,2.124,263074
8/12/2022 16:04:50,2014-2015,Amon,Sylhet,Sylhet,129311,2.13,275476
8/12/2022 16:05:58,2014-2015,Amon,Sylhet,Maulavibazar,91959,2.477,227829
8/12/2022 16:07:13,2014-2015,Amon,Sylhet,Sunamgonj,52535,2.102,110452
8/12/2022 16:08:16,2014-2015,Amon,Sylhet,Hobigonj,92183,2.068,190599
8/12/2022 16:10:20,2014-2015,Amon,Barisal,Barisal,118821,1.942,230758
8/12/2022 16:11:19,2014-2015,Amon,Barisal,Jhalakathi,44548,1.749,77925
8/12/2022 16:12:16,2014-2015,Amon,Barisal,Perojpur,61155,1.884,115192
8/12/2022 16:13:34,2014-2015,Amon,Barisal,Bhola,172207,1.942,334501
8/12/2022 16:14:27,2014-2015,Amon,Barisal,Patuakhali,203463,1.76,358070
8/12/2022 16:15:29,2014-2015,Amon,Barisal,Barguna,92785,1.763,163600
8/12/2022 16:34:13,2014-2015,Amon,Khulna,Jessore,130588,2.596,338975
8/12/2022 16:37:17,2014-2015,Amon,Khulna,Jhenaidah,85789,2.812,241220
8/12/2022 16:39:26,2014-2015,Amon,Khulna,Magura,56886,2.554,145287
8/12/2022 16:41:58,2014-2015,Amon,Khulna,Narail,35291,2.034,71785
8/12/2022 16:43:12,2014-2015,Amon,Khulna,Khulna,100008,2.551,255133
8/12/2022 16:44:11,2014-2015,Amon,Khulna,Bagerhat,82682,2.184,180613
8/12/2022 16:44:59,2014-2015,Amon,Khulna,Satkhira,93244,2.994,279166
8/12/2022 16:45:55,2014-2015,Amon,Khulna,Kushtia,79572,2.608,207546
8/12/2022 16:47:32,2014-2015,Amon,Khulna,Chuadanga,36526,2.738,99997
8/12/2022 16:48:39,2014-2015,Amon,Khulna,Meherpur,23761,2.973,70650
8/12/2022 16:50:58,2014-2015,Amon,Rajshahi,Bogra,181297,2.65,480483
8/12/2022 16:52:30,2014-2015,Amon,Rajshahi,Joypurhat,67259,2.796,188077
8/12/2022 16:53:23,2014-2015,Amon,Rajshahi,Pabna,89388,2.126,190075
8/12/2022 16:54:23,2014-2015,Amon,Rajshahi,Sirajgonj,88514,2.376,210269
8/12/2022 16:55:12,2014-2015,Amon,Rajshahi,Rajshahi,68926,2.897,199696
8/12/2022 16:56:15,2014-2015,Amon,Rajshahi,Noagaon,213525,2.836,605457
8/12/2022 16:57:16,2014-2015,Amon,Rajshahi,Natore,73027,2.388,174355
8/12/2022 16:58:12,2014-2015,Amon,Rajshahi,Nawabgonj,52586,2.618,137678
8/12/2022 17:00:39,2014-2015,Amon,Rangpur,Dinajpur,249615,2.461,614367
8/12/2022 17:01:20,2014-2015,Amon,Rangpur,Thakurgaon,121726,2.791,339766
8/12/2022 17:02:12,2014-2015,Amon,Rangpur,Panchagar,92458,2.707,250306
8/12/2022 17:02:54,2014-2015,Amon,Rangpur,Rangpur,157415,2.767,435563
8/12/2022 17:03:40,2014-2015,Amon,Rangpur,Gaibandha,125820,2.561,322175
8/12/2022 17:05:28,2014-2015,Amon,Rangpur,Kurigram,103712,2.358,244592
8/12/2022 17:06:17,2014-2015,Amon,Rangpur,Nilphamari,106684,2.839,302918
8/12/2022 17:07:10,2014-2015,Amon,Rangpur,Lalmonirhat,77597,2.726,211545
8/12/2022 21:37:32,2015-2016,Amon,Chittagong,Bandarban ,0,0,0
8/12/2022 21:39:01,2015-2016,Amon,Chittagong,Chittagong,0,0,0
8/12/2022 21:47:54,2014-2015,Amon,Barisal ,Barguna ,95909,1.77,169803
8/12/2022 21:52:22,2014-2015,Amon,Barisal ,Barisal ,120137,2.005,240835
8/12/2022 21:55:58,2014-2015,Amon,Bhola ,Barisal ,183490,2.242,411372
8/12/2022 22:44:19,2015-2016,Amon,Chittagong,Cox's Bazar,0,0,0
8/12/2022 22:45:50,2015-2016,Amon,Chittagong ,Comilla ,25494,1.191,30358
8/12/2022 22:47:35,2016-2017,Amon,Barishal,Jhalakathi ,46212,1.754,81058
8/12/2022 22:47:56,2015-2016,Amon,Chittagong,Chandpur ,11796,0.989,11664
8/12/2022 22:52:32,2016-2017,Amon,Barisal ,Patuakhali ,205468,1.925,395482
8/12/2022 22:54:01,2015-2016,Amon,Chittagong,Bandarban ,9670,2.458,23766
8/12/2022 22:54:11,2016-2017,Amon,Barisal ,Perojpur ,60391,1.927,116390
8/12/2022 22:56:13,2016-2017,Amon,Chittagong ,Bandarban ,9700,2.535,24594
8/12/2022 22:58:25,2015-2016,Amon,Chittagong,Chittagong ,173476,2.795,484869
8/12/2022 23:00:14,2015-2016,Amon,Chittagong,Cox's Bazar,76324,2.473,188716
8/12/2022 23:01:30,2015-2016,Amon,Chittagong,Comilla ,137669,2.14,294604
8/12/2022 23:05:49,2015-2016,Amon,Chittagong,Chandpur,38242,1.783,68192
8/12/2022 23:07:13,2015-2016,Amon,Chittagong,Brahmanbaria ,65438,2.298,150378
8/12/2022 23:08:23,2015-2016,Amon,Chittagong,Khagrachari ,27766,2.837,78770
8/12/2022 23:09:24,2016-2017,Amon,Chittagong ,Brahmanbaria ,68961,2.267,156360
8/12/2022 23:09:55,2015-2016,Amon,Chittagong,Noakhali,126265,1.89,238614
8/12/2022 23:11:14,2015-2016,Amon,Chittagong,Lakshmipur ,85188,2.41,205261
8/12/2022 23:12:15,2016-2017,Amon,Chittagong ,Chandpur ,37247,1.823,67890
8/12/2022 23:12:27,2015-2016,Amon,Chittagong,Feni ,66271,2.68,177615
8/12/2022 23:13:20,2015-2016,Amon,Chittagong,Rangamati ,9954,2.836,28235
8/12/2022 23:14:02,2016-2017,Amon,Chittagong ,Chittagong ,170728,2.787,475889
8/12/2022 23:15:41,2016-2017,Amon,Chittagong ,Comilla ,135054,2.138,288796
8/12/2022 23:16:27,2015-2016,Amon,Sylhet,Sylhet ,127820,2.19,279939
8/12/2022 23:17:22,2015-2016,Amon,Sylhet,Maulavibazar,96541,2.557,246845
8/12/2022 23:18:27,2015-2016,Amon,Sylhet,Sunamgonj ,51068,2.15,109804
8/12/2022 23:18:44,2017-2018,Amon,Syllhet,Syllhet,141920,2.369,336260
8/12/2022 23:18:59, 2016-2017,Amon,Chittagong ,Cox's Bazar,76497,2.588,197967
8/12/2022 23:19:28,2015-2016,Amon,Sylhet,Hobigonj,95470,2.089,199483
8/12/2022 23:20:20,2016-2017,Amon,Chittagong ,Feni ,65952,2.682,176883
8/12/2022 23:20:41,2017-2018,Amon,Syllhet,Sunamgonj,74327,2.414,2.414
8/12/2022 23:21:37,2019-2020,Amon,Barishal,Barguna ,77650,1787,138760
8/12/2022 23:22:01,2016-2017,Amon,Chittagong ,Khagrachari ,26491,2.828,74922
8/12/2022 23:22:17,2017-2018,Amon,Syllhet,Maulovibazar,97890,2.716,265917
8/12/2022 23:22:43,2015-2016,Amon,Dhaka,Dhaka,17455,1.571,27419
8/12/2022 23:23:42,2015-2016,Amon,Dhaka,Gazipur,41748,2.287,95483
8/12/2022 23:23:50,2019-2020,Amon,Barishal,Barishal,129941,1.599,207814
8/12/2022 23:25:10,2015-2016,Amon,Dhaka,Manikgonj,39541,1.344,53141
8/12/2022 23:25:38,2019-2020,Amon,Barishal,Bhola,159740,2.379,379971
8/12/2022 23:25:58,2017-2018,Amon,Syllhet,Hobigonj,102000,2.389,243682
8/12/2022 23:26:13,2015-2016,Amon,Dhaka,Munsigonj,19815,1.101,21822
8/12/2022 23:26:49,2019-2020,Amon,Barishal,Jhalkathi,47772,2.002,95646
8/12/2022 23:27:18,2017-2018,Amon,Rangpur,Rangpur,163461,2.824,471649
8/12/2022 23:28:04,2019-2020,Amon,Barishal,Patuakhali,170345,1.98,337294
8/12/2022 23:28:15,2015-2016,Amon,Dhaka,Narayangonj,6957,1.43,9945
8/12/2022 23:29:20,2019-2020,Amon,Barishal,Pirozpur,63635,1.9,120910
8/12/2022 23:29:27,2015-2016,Amon,Dhaka,Narsingdi,36032,2.207,79512
8/12/2022 23:29:46,2017-2018,Amon,Rangpur,Thakurgaon,136485,2.814,384185
8/12/2022 23:30:46,2015-2016,Amon,Dhaka,Faridpur,60661,2.386,144737
8/12/2022 23:30:48,2017-2018,Amon,Rangpur,Panchagar,97490,2.774,270411
8/12/2022 23:31:55,2017-2018,Amon,Rangpur,Nilphamari,111808,2.841,317680
8/12/2022 23:32:47,2015-2016,Amon,Dhaka,Rajbari,41467,2.605,108004
8/12/2022 23:32:54,2017-2018,Amon,Rangpur,Lalmonirhat,84510,2.799,236528
8/12/2022 23:33:42,2015-2016,Amon,Dhaka,Madaripur,25843,1.518,39225
8/12/2022 23:33:52,2017-2018,Amon,Rangpur,Kurigram,115077,2.632,302921
8/12/2022 23:34:41,2019-2020,Amon,Chittagong,Bandarban,10376,2.76,28634
8/12/2022 23:34:47,2015-2016,Amon,Dhaka,Gopalgonj,22165,1.301,28836
8/12/2022 23:34:49,2017-2018,Amon,Rangpur,Gaibandha,117300,2.887,315190
8/12/2022 23:35:53,2017-2018,Amon,Rangpur,Dinajpur,256410,2.783,713563
8/12/2022 23:36:20,2015-2016,Amon,Dhaka,Shariatpur,15053,1.446,21763
8/12/2022 23:36:45,2016-2017,Amon,Chittagong ,Lakshmipur ,83776,2.507,210042
8/12/2022 23:38:01,2015-2016,Amon,Dhaka,Kishoregonj,78389,2.586,202701
8/12/2022 23:39:39,2016-2017,Amon,Chittagong ,Noakhali ,127116,1.992,253264
8/12/2022 23:40:03,2018-2019,Amon,Barishal,Barguna,81749,1.927,157492
8/12/2022 23:41:01,2019-2020,Amon,Chittagong ,Brahmanbaria ,55690,2.705,150660
8/12/2022 23:41:06,2016-2017,Amon,Chittagong ,Rangamati ,9839,2.826,27804
8/12/2022 23:41:08,2015-2016,Amon,Dhaka,Tangail,126721,2.191,277697
8/12/2022 23:42:42,2018-2019,Amon,Barishal,Barishal,122065,1.71,208723
