Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton  
8/5/2022 15:41:39,2014-2015,Potato,Chittagong,Bandarban,336,9.822,3299
8/5/2022 15:43:34,2014-2015,Potato,Chittagong,Chittagong,3753,13.634,51170
8/5/2022 15:45:06,2014-2015,Potato,Chittagong,Cox's Bazar,862,9.324,8041
8/5/2022 15:46:33,2014-2015,Potato,Chittagong,Comilla,14547,19.805,288098
8/5/2022 15:47:53,2014-2015,Potato,Chittagong,Chandpur,13037,21.162,275878
8/5/2022 15:49:55,2014-2015,Potato,Chittagong,Brahmanbaria,2246,12.979,29155
8/5/2022 15:51:12,2014-2015,Potato,Chittagong,Khagrachari,515,9.54,4915
8/5/2022 15:52:17,2014-2015,Potato,Chittagong,Noakhali,185,10.882,2008
8/5/2022 15:53:15,2014-2015,Potato,Chittagong,Lakshmipur,358,10.834,3876
8/5/2022 15:54:40,2014-2015,Potato,Chittagong,Feni,200,12.664,2526
8/5/2022 15:55:39,2014-2015,Potato,Chittagong,Rangamati,384,9.595,3685
8/5/2022 15:56:54,2014-2015,Potato,Sylhet,Sylhet,1107,9.931,10991
8/5/2022 15:57:46,2014-2015,Potato,Sylhet,Maulavibazar,1282,11.382,14587
8/5/2022 15:58:36,2014-2015,Potato,Sylhet,Sunamgonj,496,9.442,4681
8/5/2022 15:59:37,2014-2015,Potato,Sylhet,Hobigonj,2022,10.533,21295
8/5/2022 16:01:15,2014-2015,Potato,Dhaka,Dhaka,2645,19.653,51989
8/5/2022 16:02:15,2014-2015,Potato,Dhaka,Gazipur,275,12.138,3335
8/5/2022 16:02:58,2014-2015,Potato,Dhaka,Manikgonj,2210,20.64,45605
8/5/2022 16:03:51,2014-2015,Potato,Dhaka,Munsigonj,37378,32.741,1223810
8/5/2022 16:04:41,2014-2015,Potato,Dhaka,Narayangonj,2696,23.145,62389
8/5/2022 16:05:29,2014-2015,Potato,Dhaka,Narsingdi,970,13.628,13220
8/5/2022 16:06:14,2014-2015,Potato,Dhaka,Faridpur,288,18.374,5287
8/5/2022 16:07:05,2014-2015,Potato,Dhaka,Rajbari,147,18.404,2703
8/5/2022 16:07:57,2014-2015,Potato,Dhaka,Madaripur,639,17.802,11368
8/5/2022 16:08:54,2014-2015,Potato,Dhaka,Gopalgonj,194,19.124,3715
8/5/2022 16:09:56,2014-2015,Potato,Dhaka,Shariatpur,1463,22.062,32275
8/5/2022 16:11:04,2014-2015,Potato,Dhaka,Kishoregonj,4137,12.789,52907
8/5/2022 16:12:00,2014-2015,Potato,Dhaka,Tangail,3468,13.049,45260
8/5/2022 16:13:09,2014-2015,Potato,Mymensingh,Jamalpur,4505,17.684,79663
8/5/2022 16:13:58,2014-2015,Potato,Mymensingh,Sherpur,4837,17.854,86354
8/5/2022 16:15:43,2014-2015,Potato,Mymensingh,Netrokona,1366,8.142,11123
8/5/2022 16:16:35,2014-2015,Potato,Mymensingh,Mymensingh,4570,9.603,43888
