Timestamp,Year,Crop Name,Region_Division,District,Area_Hectare,Yield_per_Hectare_M_Ton,Production _M_Ton 
8/12/2022 22:54:40,2014-2015,Wheat,Chittagong,Bandarban,0,0,0
8/12/2022 22:55:35,2014-2015,Wheat,Chittagong,Chittagong,4,1.123,5
8/12/2022 22:56:24,2014-2015,Wheat,Chittagong,Cox's Bazar,0,0,0
8/12/2022 22:57:11,2014-2015,Wheat,Chittagong,Comilla,1389,2.21,3070
8/12/2022 22:58:33,2014-2015,Wheat,Chittagong,Chandpur,1098,2.695,2959
8/12/2022 22:59:16,2014-2015,Wheat,Chittagong,Brahmanbaria,1806,2.098,3788
8/12/2022 23:00:01,2014-2015,Wheat,Chittagong,Khagrachari,0,2.584,1
8/12/2022 23:01:05,2014-2015,Wheat,Chittagong,Noakhali,10,2.361,23
8/12/2022 23:01:51,2014-2015,Wheat,Chittagong,Lakshmipur,15,1.116,17
8/12/2022 23:03:00,2014-2015,Wheat,Chittagong,Feni,41,2.569,105
8/12/2022 23:03:38,2014-2015,Wheat,Chittagong,Rangamati,0,0,0
8/12/2022 23:04:48,2014-2015,Wheat,Sylhet,Sylhet,155,1.786,276
8/12/2022 23:05:30,2014-2015,Wheat,Sylhet,Maulavibazar,82,2.282,187
8/12/2022 23:06:53,2014-2015,Wheat,Sylhet,Sunamgonj,242,1.881,455
8/12/2022 23:07:50,2014-2015,Wheat,Sylhet,Hobigonj,427,1.997,853
8/12/2022 23:09:13,2014-2015,Wheat,Dhaka,Dhaka,317,2.26,716
8/12/2022 23:11:01,2014-2015,Wheat,Dhaka,Gazipur,86,1.813,156
8/12/2022 23:12:33,2014-2015,Wheat,Dhaka,Manikgonj,1134,2.481,2814
8/12/2022 23:13:15,2014-2015,Wheat,Dhaka,Munsigonj,25,1.708,43
8/12/2022 23:14:05,2014-2015,Wheat,Dhaka,Narayangonj,227,1.753,397
8/12/2022 23:15:15,2014-2015,Wheat,Dhaka,Narsingdi,283,2.201,623
8/12/2022 23:16:19,2014-2015,Wheat,Dhaka,Faridpur,33041,3.141,103773
8/12/2022 23:18:40,2014-2015,Wheat,Dhaka,Rajbari,16636,2.901,48261
8/12/2022 23:19:39,2014-2015,Wheat,Dhaka,Madaripur,4883,3.159,15427
8/12/2022 23:21:01,2014-2015,Wheat,Dhaka,Gopalgonj,7474,3.187,23819
8/12/2022 23:22:04,2014-2015,Wheat,Dhaka,Shariatpur,4366,3.155,13774
8/12/2022 23:22:53,2014-2015,Wheat,Dhaka,Kishoregonj,2426,1.771,2525
8/12/2022 23:23:40,2014-2015,Wheat,Dhaka,Tangail,6082,2.2613,15893
8/12/2022 23:24:36,2014-2015,Wheat,Mymensingh,Jamalpur,8535,2.65,22617
8/12/2022 23:25:20,2014-2015,Wheat,Mymensingh,Sherpur,1126,2.506,2822
8/12/2022 23:26:11,2014-2015,Wheat,Mymensingh,Netrokona,1281,1.9,2434
8/12/2022 23:26:56,2014-2015,Wheat,Mymensingh,Mymensingh,1512,2.259,3415
8/12/2022 23:27:43,2014-2015,Wheat,Barisal,Barisal,1416,2.207,3125
8/12/2022 23:28:41,2014-2015,Wheat,Barisal,Jhalakathi,75,2.229,167
8/12/2022 23:29:33,2014-2015,Wheat,Barisal,Perojpur,108,2.429,262
8/12/2022 23:30:28,2014-2015,Wheat,Barisal,Bhola,3381,2.943,9951
8/12/2022 23:31:12,2014-2015,Wheat,Barisal,Patuakhali,121,1.024,124
8/12/2022 23:31:59,2014-2015,Wheat,Barisal,Barguna,19,1.319,25
8/12/2022 23:32:58,2014-2015,Wheat,Khulna,Jessore,3048,3.085,9403
8/12/2022 23:33:49,2014-2015,Wheat,Khulna,Jhenaidah,7011,3.219,22570
8/12/2022 23:34:32,2014-2015,Wheat,Khulna,Magura,9604,2.885,27709
8/12/2022 23:35:12,2014-2015,Wheat,Khulna,Narail,3676,2.7,9925
8/12/2022 23:35:57,2014-2015,Wheat,Khulna,Khulna,513,2.581,1323
8/12/2022 23:36:38,2014-2015,Wheat,Khulna,Bagerhat,295,2.744,810
8/12/2022 23:37:19,2014-2015,Wheat,Khulna,Satkhira,1491,2.629,3919
8/12/2022 23:38:22,2014-2015,Wheat,Khulna,Kushtia,16199,3.21,51999
8/12/2022 23:39:12,2014-2015,Wheat,Khulna,Chuadanga,6749,3.32,22404
8/12/2022 23:40:04,2014-2015,Wheat,Khulna,Meherpur,17332,3.298,57155
8/12/2022 23:41:15,2014-2015,Wheat,Rajshahi,Bogra,1857,2.437,4525
8/12/2022 23:42:10,2014-2015,Wheat,Rajshahi,oypurhat,1074,2.487,2670
8/12/2022 23:43:17,2014-2015,Wheat,Rajshahi,Pabna,42214,3.067,126403
8/12/2022 23:44:01,2014-2015,Wheat,Rajshahi,Sirajgonj,6319,2.593,16383
8/12/2022 23:44:50,2014-2015,Wheat,Rajshahi,Rajshahi,28691,3.265,93684
8/12/2022 23:45:49,2014-2015,Wheat,Rajshahi,Noagaon,20153,3.137,63220
8/12/2022 23:46:44,2014-2015,Wheat,Rajshahi,Natore,25240,3.217,81204
8/12/2022 23:47:42,2014-2015,Wheat,Rajshahi,Nawabgonj,28117,3.207,90176
8/12/2022 23:49:13,2014-2015,Wheat,Rangpur,Dinajpur,20883,3.18,66399
8/12/2022 23:50:21,2014-2015,Wheat,Rangpur,Thakurgaon,58058,3.227,187325
8/12/2022 23:51:07,2014-2015,Wheat,Rangpur,Panchagar,16661,3.207,53433
8/12/2022 23:51:40,2014-2015,Wheat,Rangpur,Rangpur,3337,2.898,9672
8/12/2022 23:52:25,2014-2015,Wheat,Rangpur,Gaibandha,2627,2.327,6113
8/12/2022 23:53:21,2014-2015,Wheat,Rangpur,Kurigram,11634,3.135,36475
8/12/2022 23:54:10,2014-2015,Wheat,Rangpur,Nilphamari,4802,2.902,14023
8/12/2022 23:54:44,2014-2015,Wheat,Rangpur,Lalmonirhat,1409,2.91,4099
8/12/2022 23:58:13,2015-2016,Wheat,Chittagong,Bandarban,0,0,0
8/12/2022 23:58:46,2015-2016,Wheat,Chittagong,Chittagong,4,1.109,4
8/12/2022 23:59:29,2015-2016,Wheat,Chittagong,Cox's Bazar,0,0,0
8/13/2022 0:00:07,2015-2016,Wheat,Chittagong,Comilla,1234,2.348,2898
8/13/2022 0:00:52,2015-2016,Wheat,Chittagong,Chandpur,926,2.737,2534
8/13/2022 0:02:05,2015-2016,Wheat,Chittagong,Brahmanbaria,1481,2.157,3195
8/13/2022 0:02:49,2015-2016,Wheat,Chittagong,Khagrachari,0,0,0
8/13/2022 0:03:23,2015-2016,Wheat,Chittagong,Noakhali,11,2.221,24
8/13/2022 0:04:20,2015-2016,Wheat,Chittagong,Lakshmipur,11,0.989,11
8/13/2022 0:04:55,2015-2016,Wheat,Chittagong,Feni,44,2.555,112
8/13/2022 0:05:27,2015-2016,Wheat,Chittagong,Rangamati,0,0,0
8/13/2022 0:06:40,2015-2016,Wheat,Sylhet,Sylhet,163,1.841,300
8/13/2022 0:07:26,2015-2016,Wheat,Sylhet,Maulavibazar,97,2.278,221
8/13/2022 0:08:20,2015-2016,Wheat,Sylhet,Sunamgonj,509,2.64,1344
8/13/2022 0:08:53,2015-2016,Wheat,Sylhet,Hobigonj,434,1.91,829
8/13/2022 0:09:34,2015-2016,Wheat,Dhaka,Dhaka,284,2.315,657
8/13/2022 0:10:08,2015-2016,Wheat,Dhaka,Gazipur,83,1.894,158
8/13/2022 0:10:54,2015-2016,Wheat,Dhaka,Manikgonj,1413,2.455,3470
8/13/2022 0:11:25,2015-2016,Wheat,Dhaka,Munsigonj,19,1.709,33
8/13/2022 0:12:15,2015-2016,Wheat,Dhaka,Narayangonj,198,1.741,345
8/13/2022 0:12:53,2015-2016,Wheat,Dhaka,Narsingdi,180,2.135,385
8/13/2022 0:13:47,2015-2016,Wheat,Dhaka,Faridpur,30671,3.108,95339
8/13/2022 0:14:39,2015-2016,Wheat,Dhaka,Rajbari,15905,2.855,45405
